,artist,title,lastPos,rank,weeks,date
0,Shawn Mendes & Camila Cabello,Senorita,2,1,9,2019-08-31
1,Billie Eilish,Bad Guy,1,2,21,2019-08-31
2,Lizzo,Truth Hurts,4,3,16,2019-08-31
3,Lil Nas X Featuring Billy Ray Cyrus,Old Town Road,3,4,25,2019-08-31
4,Lil Tecca,Ran$om,8,5,12,2019-08-31
5,Khalid,Talk,5,6,28,2019-08-31
6,Chris Brown Featuring Drake,No Guidance,6,7,11,2019-08-31
7,Ed Sheeran & Justin Bieber,I Don't Care,7,8,15,2019-08-31
8,Post Malone Featuring Young Thug,Goodbyes,9,9,7,2019-08-31
9,Shawn Mendes,If I Can't Have You,10,10,16,2019-08-31
10,Lewis Capaldi,Someone You Loved,14,11,15,2019-08-31
11,Jonas Brothers,Sucker,12,12,25,2019-08-31
12,Drake Featuring Rick Ross,Money In The Grave,13,13,10,2019-08-31
13,Taylor Swift,You Need To Calm Down,18,14,10,2019-08-31
14,Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse),15,15,44,2019-08-31
15,Blanco Brown,The Git Up,17,16,11,2019-08-31
16,DaBaby,Suge,16,17,21,2019-08-31
17,Ed Sheeran Featuring Khalid,Beautiful People,20,18,8,2019-08-31
18,Taylor Swift,Lover,0,19,1,2019-08-31
19,Ariana Grande & Social House,Boyfriend,19,20,3,2019-08-31
20,"Young Thug, J. Cole & Travis Scott",The London,27,21,13,2019-08-31
21,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign",Hot Girl Summer,11,22,2,2019-08-31
22,Sam Smith & Normani,Dancing With A Stranger,22,23,32,2019-08-31
23,Lil Baby & DaBaby,Baby,34,24,5,2019-08-31
24,Luke Combs,Beer Never Broke My Heart,23,25,16,2019-08-31
25,Young Thug Featuring Gunna,Hot,0,26,1,2019-08-31
26,Polo G Featuring Lil Tjay,Pop Out,24,27,22,2019-08-31
27,Panic! At The Disco,"Hey Look Ma, I Made It",21,28,19,2019-08-31
28,Post Malone,Wow.,26,29,35,2019-08-31
29,Halsey,Without Me,25,30,46,2019-08-31
30,Dan + Shay,Speechless,28,31,35,2019-08-31
31,Young Thug Featuring Lil Baby,Bad Bad Bad,0,32,1,2019-08-31
32,Normani,Motivation,0,33,1,2019-08-31
33,Luke Bryan,Knockin' Boots,32,34,17,2019-08-31
34,Saweetie,My Type,33,35,8,2019-08-31
35,Sam Smith,How Do You Sleep?,37,36,5,2019-08-31
36,Ariana Grande,7 Rings,29,37,31,2019-08-31
37,Lil Nas X,Panini,36,38,9,2019-08-31
38,Megan Thee Stallion Featuring DaBaby,Cash Shit,39,39,9,2019-08-31
39,Jason Aldean,Rearview Town,41,40,13,2019-08-31
40,Blake Shelton,God's Country,35,41,21,2019-08-31
41,SHAED,Trampoline,47,42,12,2019-08-31
42,Dan + Shay,All To Myself,31,43,16,2019-08-31
43,Morgan Wallen,Whiskey Glasses,38,44,25,2019-08-31
44,NLE Choppa,Shotta Flow,40,45,18,2019-08-31
45,Jonas Brothers,Only Human,53,46,10,2019-08-31
46,Miley Cyrus,Slide Away,0,47,1,2019-08-31
47,"Sech, Darell, Nicky Jam, Ozuna & Anuel AA",Otro Trago,43,48,11,2019-08-31
48,Marshmello & Kane Brown,One Thing Right,46,49,9,2019-08-31
49,"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin",China,44,50,5,2019-08-31
50,Justin Moore,The Ones That Didn't Make It Back Home,52,51,10,2019-08-31
51,Offset Featuring Cardi B,Clout,51,52,20,2019-08-31
52,Sarah Jeffery,Queen Of Mean,49,53,3,2019-08-31
53,5 Seconds Of Summer,Easier,56,54,13,2019-08-31
54,Young Thug Featuring Lil Uzi Vert,What's The Move,0,55,1,2019-08-31
55,Bad Bunny & Tainy,Callaita,54,56,11,2019-08-31
56,Wale Featuring Jeremih,On Chill,86,57,2,2019-08-31
57,Taylor Swift Featuring Brendon Urie,ME!,63,58,18,2019-08-31
58,Chris Lane,I Don't Know About You,62,59,7,2019-08-31
59,Young Thug,Just How It Is,0,60,1,2019-08-31
60,Young Thug Featuring Gunna,Surf,0,61,1,2019-08-31
61,The Chainsmokers & Bebe Rexha,Call You Mine,60,62,12,2019-08-31
62,"YG, Tyga & Jon Z",Go Loko,57,63,16,2019-08-31
63,Y2K & bbno$,Lalala,70,64,8,2019-08-31
64,Katy Perry,Never Really Over,50,65,12,2019-08-31
65,Chris Young,Raised On Country,55,66,12,2019-08-31
66,Dierks Bentley,Living,67,67,4,2019-08-31
67,Cardi B,Press,61,68,12,2019-08-31
68,NF,Time,65,69,5,2019-08-31
69,Young Thug Featuring Future,Sup Mate,0,70,1,2019-08-31
70,Carrie Underwood,Southbound,68,71,6,2019-08-31
71,Ellie Goulding & Juice WRLD,Hate Me,73,72,5,2019-08-31
72,"Jhay Cortez, J Balvin & Bad Bunny",No Me Conoce,71,73,7,2019-08-31
73,Cole Swindell,Love You Too Late,75,74,3,2019-08-31
74,Swae Lee Featuring Drake,Won't Be Late,0,75,1,2019-08-31
75,Ali Gatie,It's You,72,76,10,2019-08-31
76,Kenny Chesney,Tip Of My Tongue,77,77,6,2019-08-31
77,Diplo Presents Thomas Wesley Featuring Morgan Wallen,Heartless,0,78,1,2019-08-31
78,Mustard Featuring Roddy Ricch,Ballin',79,79,5,2019-08-31
79,Matt Stell,Prayed For You,82,80,3,2019-08-31
80,"Lunay, Daddy Yankee & Bad Bunny",Soltera,66,81,15,2019-08-31
81,Young Thug,Light It Up,0,82,1,2019-08-31
82,Doja Cat & Tyga,Juicy,0,83,1,2019-08-31
83,Young Thug,Lil Baby,0,84,1,2019-08-31
84,Khalid Featuring A Boogie Wit da Hoodie,Right Back,83,85,4,2019-08-31
85,"Tyler, The Creator",Earfquake,76,86,14,2019-08-31
86,Lil Tjay,F.N,92,87,2,2019-08-31
87,Runaway June,Buy My Own Drinks,90,88,2,2019-08-31
88,Trippie Redd Featuring Lil Baby & Lil Duke,Mac 10,64,89,2,2019-08-31
89,Brantley Gilbert + Lindsay Ell,What Happens In A Small Town,85,90,3,2019-08-31
90,Eric Church,Some Of It,74,91,13,2019-08-31
91,Young Thug Featuring Machine Gun Kelly,Ecstasy,0,92,1,2019-08-31
92,Lady Antebellum,What If I Never Get Over You,96,93,4,2019-08-31
93,Ambjaay,Uno,89,94,3,2019-08-31
94,Blueface & Rich The Kid,Daddy,78,95,4,2019-08-31
95,Keith Urban,We Were,80,96,3,2019-08-31
96,DaBaby Featuring Offset,Baby Sitter,93,97,2,2019-08-31
97,The Chainsmokers & Illenium Featuring Lennon Stella,Takeaway,0,98,2,2019-08-31
98,Russell Dickerson,Every Little Thing,0,99,1,2019-08-31
99,Lil Tecca,Did It Again,0,100,1,2019-08-31
0,Billie Eilish,Bad Guy,2,1,20,2019-08-24
1,Shawn Mendes & Camila Cabello,Senorita,3,2,8,2019-08-24
2,Lil Nas X Featuring Billy Ray Cyrus,Old Town Road,1,3,24,2019-08-24
3,Lizzo,Truth Hurts,4,4,15,2019-08-24
4,Khalid,Talk,5,5,27,2019-08-24
5,Chris Brown Featuring Drake,No Guidance,6,6,10,2019-08-24
6,Ed Sheeran & Justin Bieber,I Don't Care,7,7,14,2019-08-24
7,Lil Tecca,Ran$om,10,8,11,2019-08-24
8,Post Malone Featuring Young Thug,Goodbyes,9,9,6,2019-08-24
9,Shawn Mendes,If I Can't Have You,11,10,15,2019-08-24
10,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign",Hot Girl Summer,0,11,1,2019-08-24
11,Jonas Brothers,Sucker,12,12,24,2019-08-24
12,Drake Featuring Rick Ross,Money In The Grave,13,13,9,2019-08-24
13,Lewis Capaldi,Someone You Loved,17,14,14,2019-08-24
14,Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse),14,15,43,2019-08-24
15,DaBaby,Suge,15,16,20,2019-08-24
16,Blanco Brown,The Git Up,16,17,10,2019-08-24
17,Taylor Swift,You Need To Calm Down,18,18,9,2019-08-24
18,Ariana Grande & Social House,Boyfriend,8,19,2,2019-08-24
19,Ed Sheeran Featuring Khalid,Beautiful People,22,20,7,2019-08-24
20,Panic! At The Disco,"Hey Look Ma, I Made It",19,21,18,2019-08-24
21,Sam Smith & Normani,Dancing With A Stranger,20,22,31,2019-08-24
22,Luke Combs,Beer Never Broke My Heart,21,23,15,2019-08-24
23,Polo G Featuring Lil Tjay,Pop Out,25,24,21,2019-08-24
24,Halsey,Without Me,24,25,45,2019-08-24
25,Post Malone,Wow.,23,26,34,2019-08-24
26,"Young Thug, J. Cole & Travis Scott",The London,27,27,12,2019-08-24
27,Dan + Shay,Speechless,28,28,34,2019-08-24
28,Ariana Grande,7 Rings,30,29,30,2019-08-24
29,Marshmello & Bastille,Happier,26,30,52,2019-08-24
30,Dan + Shay,All To Myself,33,31,15,2019-08-24
31,Luke Bryan,Knockin' Boots,32,32,16,2019-08-24
32,Saweetie,My Type,35,33,7,2019-08-24
33,Lil Baby & DaBaby,Baby,45,34,4,2019-08-24
34,Blake Shelton,God's Country,29,35,20,2019-08-24
35,Lil Nas X,Panini,31,36,8,2019-08-24
36,Sam Smith,How Do You Sleep?,37,37,4,2019-08-24
37,Morgan Wallen,Whiskey Glasses,36,38,24,2019-08-24
38,Megan Thee Stallion Featuring DaBaby,Cash Shit,41,39,8,2019-08-24
39,NLE Choppa,Shotta Flow,39,40,17,2019-08-24
40,Jason Aldean,Rearview Town,40,41,12,2019-08-24
41,Ava Max,Sweet But Psycho,34,42,35,2019-08-24
42,"Sech, Darell, Nicky Jam, Ozuna & Anuel AA",Otro Trago,44,43,10,2019-08-24
43,"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin",China,43,44,4,2019-08-24
44,Khalid,Better,42,45,48,2019-08-24
45,Marshmello & Kane Brown,One Thing Right,62,46,8,2019-08-24
46,SHAED,Trampoline,52,47,11,2019-08-24
47,Meek Mill Featuring Drake,Going Bad,47,48,37,2019-08-24
48,Sarah Jeffery,Queen Of Mean,67,49,2,2019-08-24
49,Katy Perry,Never Really Over,38,50,11,2019-08-24
50,Offset Featuring Cardi B,Clout,50,51,19,2019-08-24
51,Justin Moore,The Ones That Didn't Make It Back Home,46,52,9,2019-08-24
52,Jonas Brothers,Only Human,63,53,9,2019-08-24
53,Bad Bunny & Tainy,Callaita,53,54,10,2019-08-24
54,Chris Young,Raised On Country,54,55,11,2019-08-24
55,5 Seconds Of Summer,Easier,55,56,12,2019-08-24
56,"YG, Tyga & Jon Z",Go Loko,51,57,15,2019-08-24
57,Florida Georgia Line,Talk You Out Of It,57,58,26,2019-08-24
58,Rick Ross Featuring Drake,Gold Roses,73,59,3,2019-08-24
59,The Chainsmokers & Bebe Rexha,Call You Mine,56,60,11,2019-08-24
60,Cardi B,Press,64,61,11,2019-08-24
61,Chris Lane,I Don't Know About You,69,62,6,2019-08-24
62,Taylor Swift Featuring Brendon Urie,ME!,66,63,17,2019-08-24
63,Trippie Redd Featuring Lil Baby & Lil Duke,Mac 10,0,64,1,2019-08-24
64,NF,Time,79,65,4,2019-08-24
65,"Lunay, Daddy Yankee & Bad Bunny",Soltera,70,66,14,2019-08-24
66,Dierks Bentley,Living,72,67,3,2019-08-24
67,Carrie Underwood,Southbound,76,68,5,2019-08-24
68,DJ Khaled Featuring SZA,Just Us,59,69,13,2019-08-24
69,Y2K & bbno$,Lalala,71,70,7,2019-08-24
70,"Jhay Cortez, J Balvin & Bad Bunny",No Me Conoce,78,71,6,2019-08-24
71,Ali Gatie,It's You,75,72,9,2019-08-24
72,Ellie Goulding & Juice WRLD,Hate Me,74,73,4,2019-08-24
73,Eric Church,Some Of It,65,74,12,2019-08-24
74,Cole Swindell,Love You Too Late,94,75,2,2019-08-24
75,"Tyler, The Creator",Earfquake,77,76,13,2019-08-24
76,Kenny Chesney,Tip Of My Tongue,86,77,5,2019-08-24
77,Blueface & Rich The Kid,Daddy,98,78,3,2019-08-24
78,Mustard Featuring Roddy Ricch,Ballin',89,79,4,2019-08-24
79,Keith Urban,We Were,90,80,2,2019-08-24
80,Katy Perry,Small Talk,0,81,1,2019-08-24
81,Matt Stell,Prayed For You,99,82,2,2019-08-24
82,Khalid Featuring A Boogie Wit da Hoodie,Right Back,81,83,3,2019-08-24
83,"Dove Cameron, Sofia Carson, Booboo Stewart, Cameron Boyce, Thomas Doherty, China Anne McClain & Dylan Playfair",Night Falls,0,84,1,2019-08-24
84,Brantley Gilbert + Lindsay Ell,What Happens In A Small Town,97,85,2,2019-08-24
85,Wale Featuring Jeremih,On Chill,0,86,1,2019-08-24
86,Trippie Redd,Snake Skin,0,87,1,2019-08-24
87,Meek Mill Featuring Ella Mai,24/7,83,88,19,2019-08-24
88,Ambjaay,Uno,82,89,2,2019-08-24
89,Runaway June,Buy My Own Drinks,0,90,1,2019-08-24
90,Eli Young Band,Love Ain't,87,91,18,2019-08-24
91,Lil Tjay,F.N,0,92,1,2019-08-24
92,DaBaby Featuring Offset,Baby Sitter,0,93,1,2019-08-24
93,Lil Uzi Vert,Sanguine Paradise,0,94,16,2019-08-24
94,Lil Nas X & Cardi B,Rodeo,96,95,8,2019-08-24
95,Lady Antebellum,What If I Never Get Over You,0,96,3,2019-08-24
96,NAV Featuring Meek Mill,Tap,92,97,10,2019-08-24
97,Bryce Vine Featuring YG,La La Land,91,98,11,2019-08-24
98,J Balvin & Bad Bunny,Que Pretendes,0,99,5,2019-08-24
99,Big Sean,Single Again,84,100,3,2019-08-24
0,Lil Nas X Featuring Billy Ray Cyrus,Old Town Road,1,1,23,2019-08-17
1,Billie Eilish,Bad Guy,2,2,19,2019-08-17
2,Shawn Mendes & Camila Cabello,Senorita,3,3,7,2019-08-17
3,Lizzo,Truth Hurts,4,4,14,2019-08-17
4,Khalid,Talk,5,5,26,2019-08-17
5,Chris Brown Featuring Drake,No Guidance,6,6,9,2019-08-17
6,Ed Sheeran & Justin Bieber,I Don't Care,7,7,13,2019-08-17
7,Ariana Grande & Social House,Boyfriend,0,8,1,2019-08-17
8,Post Malone Featuring Young Thug,Goodbyes,8,9,5,2019-08-17
9,Lil Tecca,Ran$om,10,10,10,2019-08-17
10,Shawn Mendes,If I Can't Have You,12,11,14,2019-08-17
11,Jonas Brothers,Sucker,9,12,23,2019-08-17
12,Drake Featuring Rick Ross,Money In The Grave,13,13,8,2019-08-17
13,Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse),11,14,42,2019-08-17
14,DaBaby,Suge,14,15,19,2019-08-17
15,Blanco Brown,The Git Up,15,16,9,2019-08-17
16,Lewis Capaldi,Someone You Loved,18,17,13,2019-08-17
17,Taylor Swift,You Need To Calm Down,16,18,8,2019-08-17
18,Panic! At The Disco,"Hey Look Ma, I Made It",17,19,17,2019-08-17
19,Sam Smith & Normani,Dancing With A Stranger,19,20,30,2019-08-17
20,Luke Combs,Beer Never Broke My Heart,21,21,14,2019-08-17
21,Ed Sheeran Featuring Khalid,Beautiful People,23,22,6,2019-08-17
22,Post Malone,Wow.,20,23,33,2019-08-17
23,Halsey,Without Me,22,24,44,2019-08-17
24,Polo G Featuring Lil Tjay,Pop Out,27,25,20,2019-08-17
25,Marshmello & Bastille,Happier,25,26,51,2019-08-17
26,"Young Thug, J. Cole & Travis Scott",The London,28,27,11,2019-08-17
27,Dan + Shay,Speechless,26,28,33,2019-08-17
28,Blake Shelton,God's Country,24,29,19,2019-08-17
29,Ariana Grande,7 Rings,30,30,29,2019-08-17
30,Lil Nas X,Panini,31,31,7,2019-08-17
31,Luke Bryan,Knockin' Boots,37,32,15,2019-08-17
32,Dan + Shay,All To Myself,43,33,14,2019-08-17
33,Ava Max,Sweet But Psycho,33,34,34,2019-08-17
34,Saweetie,My Type,38,35,6,2019-08-17
35,Morgan Wallen,Whiskey Glasses,35,36,23,2019-08-17
36,Sam Smith,How Do You Sleep?,40,37,3,2019-08-17
37,Katy Perry,Never Really Over,29,38,10,2019-08-17
38,NLE Choppa,Shotta Flow,36,39,16,2019-08-17
39,Jason Aldean,Rearview Town,46,40,11,2019-08-17
40,Megan Thee Stallion Featuring DaBaby,Cash Shit,42,41,7,2019-08-17
41,Khalid,Better,45,42,47,2019-08-17
42,"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin",China,44,43,3,2019-08-17
43,"Sech, Darell, Nicky Jam, Ozuna & Anuel AA",Otro Trago,34,44,9,2019-08-17
44,Lil Baby & DaBaby,Baby,41,45,3,2019-08-17
45,Justin Moore,The Ones That Didn't Make It Back Home,51,46,8,2019-08-17
46,Meek Mill Featuring Drake,Going Bad,48,47,36,2019-08-17
47,YK Osiris,Worth It,53,48,25,2019-08-17
48,Lady Gaga & Bradley Cooper,Shallow,47,49,45,2019-08-17
49,Offset Featuring Cardi B,Clout,49,50,18,2019-08-17
50,"YG, Tyga & Jon Z",Go Loko,54,51,14,2019-08-17
51,SHAED,Trampoline,60,52,10,2019-08-17
52,Bad Bunny & Tainy,Callaita,52,53,9,2019-08-17
53,Chris Young,Raised On Country,62,54,10,2019-08-17
54,5 Seconds Of Summer,Easier,57,55,11,2019-08-17
55,The Chainsmokers & Bebe Rexha,Call You Mine,65,56,10,2019-08-17
56,Florida Georgia Line,Talk You Out Of It,63,57,25,2019-08-17
57,Drake,Trust Issues,0,58,1,2019-08-17
58,DJ Khaled Featuring SZA,Just Us,56,59,12,2019-08-17
59,Drake,How About Now,0,60,1,2019-08-17
60,Drake,The Motion,0,61,1,2019-08-17
61,Marshmello & Kane Brown,One Thing Right,55,62,7,2019-08-17
62,Jonas Brothers,Only Human,70,63,8,2019-08-17
63,Cardi B,Press,66,64,10,2019-08-17
64,Eric Church,Some Of It,59,65,11,2019-08-17
65,Taylor Swift Featuring Brendon Urie,ME!,61,66,16,2019-08-17
66,Sarah Jeffery,Queen Of Mean,0,67,1,2019-08-17
67,Drake,Dreams Money Can Buy,0,68,1,2019-08-17
68,Chris Lane,I Don't Know About You,73,69,5,2019-08-17
69,"Lunay, Daddy Yankee & Bad Bunny",Soltera,71,70,13,2019-08-17
70,Y2K & bbno$,Lalala,76,71,6,2019-08-17
71,Dierks Bentley,Living,82,72,2,2019-08-17
72,Rick Ross Featuring Drake,Gold Roses,39,73,2,2019-08-17
73,Ellie Goulding & Juice WRLD,Hate Me,74,74,3,2019-08-17
74,Ali Gatie,It's You,75,75,8,2019-08-17
75,Carrie Underwood,Southbound,81,76,4,2019-08-17
76,"Tyler, The Creator",Earfquake,68,77,12,2019-08-17
77,"Jhay Cortez, J Balvin & Bad Bunny",No Me Conoce,80,78,5,2019-08-17
78,NF,Time,67,79,3,2019-08-17
79,Chance The Rapper Featuring MadeinTYO & DaBaby,Hot Shower,58,80,2,2019-08-17
80,Khalid Featuring A Boogie Wit da Hoodie,Right Back,0,81,2,2019-08-17
81,Ambjaay,Uno,0,82,1,2019-08-17
82,Meek Mill Featuring Ella Mai,24/7,84,83,18,2019-08-17
83,Big Sean,Single Again,64,84,2,2019-08-17
84,Drake,Club Paradise,0,85,1,2019-08-17
85,Kenny Chesney,Tip Of My Tongue,98,86,4,2019-08-17
86,Eli Young Band,Love Ain't,91,87,17,2019-08-17
87,Ed Sheeran & Travis Scott,Antisocial,78,88,4,2019-08-17
88,Mustard Featuring Roddy Ricch,Ballin',93,89,3,2019-08-17
89,Keith Urban,We Were,0,90,1,2019-08-17
90,Bryce Vine Featuring YG,La La Land,83,91,10,2019-08-17
91,NAV Featuring Meek Mill,Tap,90,92,9,2019-08-17
92,Tool,Fear Inoculum,0,93,1,2019-08-17
93,Cole Swindell,Love You Too Late,0,94,1,2019-08-17
94,Drake,Days In The East,0,95,1,2019-08-17
95,Lil Nas X & Cardi B,Rodeo,72,96,7,2019-08-17
96,Brantley Gilbert + Lindsay Ell,What Happens In A Small Town,0,97,1,2019-08-17
97,Blueface & Rich The Kid,Daddy,89,98,2,2019-08-17
98,Matt Stell,Prayed For You,0,99,1,2019-08-17
99,Beyonce,Before I Let Go,87,100,16,2019-08-17
0,Lil Nas X Featuring Billy Ray Cyrus,Old Town Road,1,1,22,2019-08-10
1,Billie Eilish,Bad Guy,2,2,18,2019-08-10
2,Shawn Mendes & Camila Cabello,Senorita,3,3,6,2019-08-10
3,Lizzo,Truth Hurts,5,4,13,2019-08-10
4,Khalid,Talk,4,5,25,2019-08-10
5,Chris Brown Featuring Drake,No Guidance,11,6,8,2019-08-10
6,Ed Sheeran & Justin Bieber,I Don't Care,6,7,12,2019-08-10
7,Post Malone Featuring Young Thug,Goodbyes,7,8,4,2019-08-10
8,Jonas Brothers,Sucker,8,9,22,2019-08-10
9,Lil Tecca,Ran$om,19,10,9,2019-08-10
10,Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse),9,11,41,2019-08-10
11,Shawn Mendes,If I Can't Have You,10,12,13,2019-08-10
12,Drake Featuring Rick Ross,Money In The Grave,13,13,7,2019-08-10
13,DaBaby,Suge,12,14,18,2019-08-10
14,Blanco Brown,The Git Up,14,15,8,2019-08-10
15,Taylor Swift,You Need To Calm Down,15,16,7,2019-08-10
16,Panic! At The Disco,"Hey Look Ma, I Made It",16,17,16,2019-08-10
17,Lewis Capaldi,Someone You Loved,20,18,12,2019-08-10
18,Sam Smith & Normani,Dancing With A Stranger,17,19,29,2019-08-10
19,Post Malone,Wow.,18,20,32,2019-08-10
20,Luke Combs,Beer Never Broke My Heart,24,21,13,2019-08-10
21,Halsey,Without Me,22,22,43,2019-08-10
22,Ed Sheeran Featuring Khalid,Beautiful People,25,23,5,2019-08-10
23,Blake Shelton,God's Country,21,24,18,2019-08-10
24,Marshmello & Bastille,Happier,27,25,50,2019-08-10
25,Dan + Shay,Speechless,30,26,32,2019-08-10
26,Polo G Featuring Lil Tjay,Pop Out,26,27,19,2019-08-10
27,"Young Thug, J. Cole & Travis Scott",The London,23,28,10,2019-08-10
28,Katy Perry,Never Really Over,32,29,9,2019-08-10
29,Ariana Grande,7 Rings,33,30,28,2019-08-10
30,Lil Nas X,Panini,28,31,6,2019-08-10
31,Panic! At The Disco,High Hopes,34,32,52,2019-08-10
32,Ava Max,Sweet But Psycho,31,33,33,2019-08-10
33,"Sech, Darell, Nicky Jam, Ozuna & Anuel AA",Otro Trago,79,34,8,2019-08-10
34,Morgan Wallen,Whiskey Glasses,35,35,22,2019-08-10
35,NLE Choppa,Shotta Flow,36,36,15,2019-08-10
36,Luke Bryan,Knockin' Boots,38,37,14,2019-08-10
37,Saweetie,My Type,37,38,5,2019-08-10
38,Rick Ross Featuring Drake,Gold Roses,0,39,1,2019-08-10
39,Sam Smith,How Do You Sleep?,29,40,2,2019-08-10
40,Lil Baby & DaBaby,Baby,42,41,2,2019-08-10
41,Megan Thee Stallion Featuring DaBaby,Cash Shit,51,42,6,2019-08-10
42,Dan + Shay,All To Myself,41,43,13,2019-08-10
43,"Anuel AA, Daddy Yankee, Karol G, Ozuna & J Balvin",China,52,44,2,2019-08-10
44,Khalid,Better,43,45,46,2019-08-10
45,Jason Aldean,Rearview Town,54,46,10,2019-08-10
46,Lady Gaga & Bradley Cooper,Shallow,47,47,44,2019-08-10
47,Meek Mill Featuring Drake,Going Bad,45,48,35,2019-08-10
48,Offset Featuring Cardi B,Clout,50,49,17,2019-08-10
49,Travis Scott,Sicko Mode,46,50,52,2019-08-10
50,Justin Moore,The Ones That Didn't Make It Back Home,68,51,7,2019-08-10
51,Bad Bunny & Tainy,Callaita,55,52,8,2019-08-10
52,YK Osiris,Worth It,53,53,24,2019-08-10
53,"YG, Tyga & Jon Z",Go Loko,56,54,13,2019-08-10
54,Marshmello & Kane Brown,One Thing Right,60,55,6,2019-08-10
55,DJ Khaled Featuring SZA,Just Us,57,56,11,2019-08-10
56,5 Seconds Of Summer,Easier,64,57,10,2019-08-10
57,Chance The Rapper Featuring MadeinTYO & DaBaby,Hot Shower,0,58,1,2019-08-10
58,Eric Church,Some Of It,59,59,10,2019-08-10
59,SHAED,Trampoline,67,60,9,2019-08-10
60,Taylor Swift Featuring Brendon Urie,ME!,58,61,15,2019-08-10
61,Chris Young,Raised On Country,71,62,9,2019-08-10
62,Florida Georgia Line,Talk You Out Of It,65,63,24,2019-08-10
63,Big Sean,Single Again,0,64,1,2019-08-10
64,The Chainsmokers & Bebe Rexha,Call You Mine,66,65,9,2019-08-10
65,Cardi B,Press,63,66,9,2019-08-10
66,NF,Time,0,67,2,2019-08-10
67,"Tyler, The Creator",Earfquake,70,68,11,2019-08-10
68,The Chainsmokers & Illenium Featuring Lennon Stella,Takeaway,0,69,1,2019-08-10
69,Jonas Brothers,Only Human,78,70,7,2019-08-10
70,"Lunay, Daddy Yankee & Bad Bunny",Soltera,74,71,12,2019-08-10
71,Lil Nas X & Cardi B,Rodeo,73,72,6,2019-08-10
72,Chris Lane,I Don't Know About You,86,73,4,2019-08-10
73,Ellie Goulding & Juice WRLD,Hate Me,82,74,2,2019-08-10
74,Ali Gatie,It's You,72,75,7,2019-08-10
75,Y2K & bbno$,Lalala,77,76,5,2019-08-10
76,Ed Sheeran Featuring Chance The Rapper & PnB Rock,Cross Me,61,77,10,2019-08-10
77,Ed Sheeran & Travis Scott,Antisocial,62,78,3,2019-08-10
78,Taylor Swift,The Archer,69,79,2,2019-08-10
79,"Jhay Cortez, J Balvin & Bad Bunny",No Me Conoce,83,80,4,2019-08-10
80,Carrie Underwood,Southbound,89,81,3,2019-08-10
81,Dierks Bentley,Living,0,82,1,2019-08-10
82,Bryce Vine Featuring YG,La La Land,75,83,9,2019-08-10
83,Meek Mill Featuring Ella Mai,24/7,80,84,17,2019-08-10
84,NF,Leave Me Alone,0,85,1,2019-08-10
85,NF,The Search,0,86,2,2019-08-10
86,Beyonce,Before I Let Go,85,87,15,2019-08-10
87,"Mustard featuring NAV, Playboi Carti & A Boogie Wit da Hoodie",Baguettes In The Face,93,88,3,2019-08-10
88,Blueface & Rich The Kid,Daddy,0,89,1,2019-08-10
89,NAV Featuring Meek Mill,Tap,87,90,8,2019-08-10
90,Eli Young Band,Love Ain't,92,91,16,2019-08-10
91,Nicki Minaj,MEGATRON,100,92,5,2019-08-10
92,Mustard Featuring Roddy Ricch,Ballin',94,93,2,2019-08-10
93,Chance The Rapper Featuring John Legend,All Day Long,0,94,1,2019-08-10
94,Chance The Rapper Featuring Death Cab For Cutie,Do You Remember,0,95,1,2019-08-10
95,Pedro Capo X Farruko,Calma,95,96,20,2019-08-10
96,Jonas Brothers,Cool,84,97,17,2019-08-10
97,Kenny Chesney,Tip Of My Tongue,98,98,3,2019-08-10
98,Lady Antebellum,What If I Never Get Over You,0,99,2,2019-08-10
99,Halsey,Nightmare,81,100,11,2019-08-10
0,Lil Nas X Featuring Billy Ray Cyrus,Old Town Road,1,1,21,2019-08-03
1,Billie Eilish,Bad Guy,2,2,17,2019-08-03
2,Shawn Mendes & Camila Cabello,Senorita,4,3,5,2019-08-03
3,Khalid,Talk,5,4,24,2019-08-03
4,Lizzo,Truth Hurts,6,5,12,2019-08-03
5,Ed Sheeran & Justin Bieber,I Don't Care,3,6,11,2019-08-03
6,Post Malone Featuring Young Thug,Goodbyes,7,7,3,2019-08-03
7,Jonas Brothers,Sucker,8,8,21,2019-08-03
8,Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse),9,9,40,2019-08-03
9,Shawn Mendes,If I Can't Have You,13,10,12,2019-08-03
10,Chris Brown Featuring Drake,No Guidance,10,11,7,2019-08-03
11,DaBaby,Suge,11,12,17,2019-08-03
12,Drake Featuring Rick Ross,Money In The Grave,12,13,6,2019-08-03
13,Blanco Brown,The Git Up,18,14,7,2019-08-03
14,Taylor Swift,You Need To Calm Down,15,15,6,2019-08-03
15,Panic! At The Disco,"Hey Look Ma, I Made It",16,16,15,2019-08-03
